start,end,text,speaker
240,244, he had severe pain in his neck and back for three weeks before improvement.,Speaker 1
244,248, His back pain is now resolved and had done by the last week of March.,Speaker 1
248,250," He still has a case on neck pain, on turning.",Speaker 1
250,254," New paragraph, psychologically, there has been no consequence to the accident.",Speaker 1
254,257, The accident had effected his ability to go to the gym for one month.,Speaker 1
257,260," Full stop, he was unemployed at the time, the accident full stop.",Speaker 1
260,268," New paragraph, examination shows that the movement of his circumspecline and upper lumbar sacral spine is full and pain free.",Speaker 1
268,272, Actively and possibly in all directions.,Speaker 1
272,277," New head in prognosis, bold and delineid in my opinion and on the balance of our relative,",Speaker 1
277,282, a full physical recovery can be anticipated from the effects of the accident at a time within six months of the day to the accident.,Speaker 1
282,287," Full stop, if I base my opinion on the fact that recovery today has been satisfactory in the range of movements,",Speaker 1
287,291, a visceral spine and lumbar sacral spine is full.,Speaker 1
291,300," New paragraph, in my opinion, there have been no long term implications for acceleration of the degeneration of his survival or lumbar sacral spine.",Speaker 1
300,303," I have no further recommendations to make regarding further investigations,",Speaker 1
303,306, come as specialist opinions or treatments.,Speaker 1
306,309," The client, it's a good historian, full stop, is injuries,",Speaker 1
309,311, I can sustain with the accident full stop.,Speaker 1
311,317," New paragraph, the injury will have no long term effect on his future work, past, past, past, full stop.",Speaker 1
317,324," New heading, the bold and delineid review of medical records, this report has been compiled without access to his general practitioner notes.",Speaker 1
324,329," New paragraph, in my opinion, examination and notes are not required,",Speaker 1
329,335, as the client is a good reliable historian and injuries sustained are compatible with the accident described.,Speaker 1
335,337," New head in degeneration, bold and blunt.",Speaker 1
337,342, I'm a general practitioner and I've been a member of the Royal College of General Practitioners since 1984.,Speaker 1
342,345," I have been in general practice since 1982,",Speaker 1
345,349," a new paragraph, Christian Myth was seen by me on the 15th of April 2010.",Speaker 1
349,357, The instruction was taken from Joe Boxlusters for the purpose of the preparation of this medical legal opinion with the recurred accident on 10th of February 2010.,Speaker 1
357,362, The opinion was prepared with the benefits of a clinical interview and clinical examination.,Speaker 1
363,365," New paragraph, I understand my duty.",Speaker 1
365,370," The clause in his opinion has been compiled with the duty rule 35,10,",Speaker 1
370,372," brackets to, close, back, its full stop.",Speaker 1
372,377, I understand the experience duty is to help the court and matters within my expertise.,Speaker 1
377,383," I confirm, I confirm that I have made clear which facts and matters referred to in the report,",Speaker 1
383,386, out within my own knowledge on which are not full stop.,Speaker 1
387,390," Those that are within my own knowledge I confirm to be true,",Speaker 1
390,396, the opinions I have expressed represent my true and complete professional opinions on that the matters to which they refer to.,Speaker 1
396,400," New paragraph, I understand that my duty is expert witnesses to the court.",Speaker 1
400,402, I have compiled with that duty full stop.,Speaker 1
402,404, I complied with that duty full stop.,Speaker 1
404,410, The supporting includes all matters relevant to the issues on which my expert evidence is given full stop.,Speaker 1
410,415, I have given details in the report of any matters which might affect the validity of this report full stop.,Speaker 1
415,417, End of dictation.,Speaker 1
